Id,Evento,Auto,Inicial,Forzado,Tiempo,Tamano,Coordenadas,Lower,Lower_Tamano,Lower_Coordenadas,Efecto,Efecto_Volumen,Efecto_Esperar
intro_01,allFadeOutWhiteBox,1,0,0,3,410x260,0 0 0,fadeOutWhiteBox,330x250,0 0 0,,,
48_auto,auto,,,,,,,,,,,,
49_wait,wait,,,,0.5,,,,,,,,
51_sfx,sfx,,,1,,,,,,,dooropen.ogg,1,
55_bbIn,fadeInBlackBox,1,0,0,0.25,400x240,0 0 0,fadeInBlackBox,400x240,0 0 0,,,
56_fpCambio,auto,,,,0,,,,,,,,
57_bbOut,fadeOutBlackBox,1,0,0,0.25,400x240,0 0 0,fadeOutBlackBox,400x240,0 0 0,,,
84_bbIn,fadeInBlackBox,1,0,0,0.25,400x240,0 0 0,fadeInBlackBox,400x240,0 0 0,,,
85_fpCambio,auto,,,,0,,,,,,,,
86_bbOut,fadeOutBlackBox,1,0,0,0.25,400x240,0 0 0,fadeOutBlackBox,400x240,0 0 0,,,
102_mGone,wait,,,,0.5,,,,,,,,
107_miIn,wait,,,,0.5,,,,,,,,
114_slideBG,wait,,,,1,,,,,,,,
115_shIn,wait,,,,0.5,,,,,,,,
120_mT,auto,,,,,,,,,,,,
121_mT2,auto,,,,,,,,,,,,
122_mT3,auto,,,,,,,,,,,,
124_sT1,auto,,,,,,,,,,,,
125_sT2,auto,,,,,,,,,,,,
149,auto,,,,,,,,,,,,
150,auto,,,,,,,,,,,,
151,auto,,,,,,,,,,,,
192_paneoIn,paneoTimeIn,1,0,0,0.8,,,,,,time.ogg,1,
193_limpieza,wait,,,,0,,,,,,,,
194_paneoOut,paneoTimeOut,1,0,0,0.8,,,,,,,,
198_sfx,sfx,,,1,,,,,,,carillon.ogg,0.5,0
201,sfxLoop,,,1,1,,,,,,crowd_indoors.ogg,1,0
,,,,,,,,,,,,,
234,sfxOut,,,,3,,,,,,,,
235_paneoIn,paneoTimeIn,1,0,0,0.8,,,,,,time.ogg,1,0
236_limpieza,wait,,,,0,,,,,,,,
237_paneoOut,paneoTimeOut,1,0,0,0.8,,,,,,,,
240,wait,,,,0,,,,,,,,
241,wait,,,,0,,,,,,,,
242,wait,,,,0,,,,,,,,
251_paneoIn,paneoTimeIn,1,0,0,0.8,,,,,,time.ogg,1,0
252_paneoOut,paneoTimeOut,1,0,0,0.8,,,,,,,,
253,sfx,,,1,,,,,,,carillon.ogg,0.5,0
263,auto,,,,,,,,,,,,
265_bbIn,fadeInBlackBox,1,0,0,0.25,400x240,0 0 0,fadeInBlackBox,400x240,0 0 0,,,
266,auto,,,,0,,,,,,,,
267_bbOut,fadeOutBlackBox,1,0,0,0.25,400x240,0 0 0,fadeOutBlackBox,400x240,0 0 0,,,
280,wait,,,,0.5,,,,,,,,
300,fadeInBlackBox,1,0,0,3,400x240,0 0 0,fadeInBlackBox,400x240,0 0 0,,,
