ID,Nombre,Texto,Velocidad
intro_01,,,
02_centralText,,It's been four months since my heart attack.,1
03_blOut,,,
04_bigboxsay,,,
5,bbs1_es-line1-line2,"In that whole time, I can probably count the times I've left this hospital room unsupervised on one hand.",1
6,bbs1_es-line3-line4-line5,"Four months is a pretty long time when you're left alone with your thoughts. So, I've had plenty of time to come to terms with my situation.",1
7,bbs1_es-line6,Arrhythmia.,1
8,bbs1_es-line7-line8,"A strange word. A foreign, alien one. One that you don't want to be in the same room with.",1
9,bbs1_1_es-line1-line2,A rare condition. It causes the heart to act erratically and occasionally beat way too fast. It can be fatal.,1
10,bbs1_1_es-line3-line4,"Apparently, I've had it for a long time. They said it was a miracle that I was able to go on so long without anything happening.",1
11,bbs1_1_es-line6-line7,"Is that really a miracle? I guess it was supposed to make me feel better, more appreciative of my life.",1
12,bbs1_1_es-line8,It really didn't do anything to cheer me up.,1
13,bbs2_es-line1-line2,"My parents, I think, were hit harder by the news than I was. They practically had two hemorrhages apiece.",1
14,bbs2_es-line3-line4-line5,"I had already had a full day by then to digest everything. To them, it was all fresh. They were even willing to sell our house in order to pay for a cure.",1
15,bbs2_es-line6,Of course there isn't a cure.,1
16,bbs3_es-line1-line2,"Because of the late discovery of this… condition, I've had to stay at the hospital, to recuperate from the treatments.",1
17,bbs3_es-line3,"When I was first admitted, it felt as if I was missed…",1
18,bbs3_es-line4-line5,"For about a week, my room in the ward was full of flowers, balloons and cards.",1
19,bbs3_es-line6-line7,"But, the visitors soon dwindled and all the get-well gifts began trickling down to nothing shortly after.",1
20,bbs3_1_es-line1-line2-line3,I realized that the only reason I had gotten so many cards and flowers was because sending me their sympathy had been turned into a class project.,1
21,bbs3_1_es-line4-line5-line6,"Maybe some people were genuinely concerned, but I doubt it. Even in the beginning, I barely had visitors. By the end of the first month, only my parents came by on a regular basis.",1
22,bbs3_2_es-line1,Iwanako was the last to stop visiting.,1
23,bbs3_2_es-line2-line3,"After six weeks, I never saw her again. We never had that much to talk about when she visited, anyway.",1
24,bbs3_2_es-line4-line5,We didn't touch the subject that was between us on that snowy day ever again.,1
25,bbs4_es-line1,The hospital?,1
26,bbs4_es-line2,It's not really a place I'd like to live in.,1
27,bbs4_es-line3,The doctors and nurses feel so impersonal and faceless.,1
28,bbs4_es-line5-line6,"I guess it's because they are in a hurry and they have a million other patients waiting for them, but it makes me feel uncomfortable.",1
29,bbs4_es-line7-line8,"For the first month or so, I asked the head cardiologist every time I saw him for a rough estimate of when I'd be able to leave.",1
30,bbs4_es-line10-line11,"He never answered anything in a straightforward way, but told me to wait and see if the treatment and surgeries worked.",1
31,bbs4_1_es-line1-line2-line3,"So, I idly observed the scar that those surgeries had left on my chest slowly change its appearance over time, thinking of it as some kind of an omen.",1
32,bbs4_1_es-line5-line6-line7-line8-line9,"I still ask the head cardiologist about leaving, but my expectations are low enough now that I'm not disappointed any more when I don't get a reply. The way he shuffles around the answer shows that there is at least some hope.",1
33,bbs5_es-line1,"At some point I stopped watching TV. I don't know why, I just did.",1
34,bbs5_es-line3,Maybe it was the wrong kind of escapism for my situation.,1
