ID,Nombre,Texto,Velocidad
prueba_01,,,
2,Hanako,"Now this is a dialogue text in inglish, nice owo",1
3,,"We keep this inlighs dialogue, very nice owo its a simple try with simple texts",1
4,,,
5,,"Y vuelve el díalogo mágicoso owo @ñ,.;-_89)=)(",1
6,,,
evento_07,,,
evento_08,,,
9,,Aquí hay un diálogo luego de que terminara los fade de los boxes =W=,1
evento_10,,Y aquí viene un efecto de sonido owo,1
11,,,
evento_12,,Y aquí se mantiene sonando los murmuros,1
13,,,
14,,,
evento_15,,,
16,,Y finalizamos =w=,1
17,,"De hecho aún no, aún nos hace faltan las decisiones y en el siguiente ID aparecerán 2 owo",1
18,,Y aquí es donde deberemos tomar las decisiones owo,1
19,,"Bien owo ya tomamos una decisión, ahora debemos ver si en el siguiente ID con 3 decisiones, aparecen bien owo",1
20,,Y aquí es donde hay 3 decisiones osiosiosi,1
21,,y ya =w= mucha wbda,1
22,,Ahora en el siguiente ID se comprobará con check,1
23,,,
24,,Si llegamos aquí es porque tenemos 2 valores de Hanako ovo,1
25,,Si estamos aquí es porque tenemos 1 valor con Hanako uu,1
26,,,
27,,"Ahora, si estamos aquí es porque tenemos 1 valor con Lilly",1
28,,Y si estamos aquí es porque no tenemos valor con Lilly uu,1
29,,,
30,,Si estamos acá es porque carrera está encendida owo,1
31,,Y si estamos aquí es porque no hay carrera uu,1
32,,Y aquí normalizamos todas las decisiones wiiii,1
